髪を伸ばす（かみをのばす）,grow one's hair
髪を結ぶ (かみをむすぶ),to tie one's hair
美容院（びよういん）,beauty salon
ふんいきがいいー雰囲気がいい,good atmosphere
ふんいきがかわるー雰囲気が変わる,atmosphere changes(အသွင်အပြင် ပြောင်းလဲ)
しわが増える（ふえる）,Wrinkles increase
肌にクリームを塗る（はだにクリームをぬる）,apply the cream to the skin
効果（こうか）がある,effect
まったく〜ない,Not〜at all
まったく効果がない（こうか）,no effect at all(Absolutely; Completely)
けしょうがこい ー化粧が濃い,heavy make-up
スタイルに自信がない,not sure about my style
姿勢が悪い（しせいがわるい）,bad posture
みっともない恰好（かっこう）,disgraceful; unbecoming appearance
りょうー量,amount
りょうをせいげんするー量を制限する,limit the amount
がいしょくがおおいー外食が多い,often eat out
カロリーが高い,high in calories
体力をつける (たいりょくをつける),build up physical strength
体操をする (たいそうをする),to do physical exercise
全身 (ぜんしん),whole body
筋肉 (きんにく),muscle
ぜんしんのきんにくをつかうー全身の筋肉を使う,Use all the muscles in the body
汗が出る(あせがでる),sweat
息（いき）,breath
息が苦しい（いきがくるしい）,Short of breath; feel suffocated
中年になる（ちゅうねんになる）,become middle aged
普段（ふだん）,usually＝いつも；毎日
健康（けんこう）（な）,health; healthy
普段（ふだん）から健康（けんこう）に気を付ける,Take care of your health on a regular basis
禁煙をする（きんえんをする）,quit smoking
内緒 (ないしょ),secret
つまにないしょでたばこをすう,Smoking in secret
無駄な（むだな）,wasteful
頑張っても、無駄だ（がんばっても、むだだ）,Even if you try- it's no use
意志が弱い (いしがよわい),weak will
影響を与える（えいきょうをあたえる）,to influence
ヨガをする,to do yoga
ジョギングする,jogging
ダイエットする,diet
ジムに通う,ジムにかよう to go to the gym
